['LRMNC1803', 'LRMNC1813']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Do not store food with high moisture content towards the top of the refrigerator.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 food with high moisture content could come in direct contact with the cold air and freeze.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Wash food before storing food in the refrigerator.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Wipe off condensation with a clean cloth or a paper towel.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 This can increase the running costs of the refrigerator.
Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times. 	 paraphrase 	 a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 a freezer guide or a reliable cookbook
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 for further information about preparing food for freezing or food storage times
a freezer guide or a reliable cookbook 	 should_be_checked 	 for further information about preparing food for freezing or food storage times
Cooling hot foods before freezing saves energy. 	 talks_about 	 freezing
Cooling hot foods before freezing saves energy. 	 talks_about 	 Cooling hot foods saves energy
Cooling hot foods saves energy 	 succeded_by 	 freezing
freezing 	 preceded_by 	 Cooling hot foods saves energy
If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. 	 talks_about 	 you are leaving home for a short period, like a short vacation, the refrigerator should be left on
Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer. 	 talks_about 	 are able to be frozen
Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer. 	 talks_about 	 Refrigerated foods will stay preserved longer if stored in the freezer
Refrigerated foods will stay preserved longer if stored in the freezer 	 that 	 are able to be frozen
If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. 	 talks_about 	 you are leaving the refrigerator turned off for an extended period
If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. 	 talks_about 	 remove all food and unplug the power cord
remove all food and unplug the power cord 	 Condition 	 you are leaving the refrigerator turned off for an extended period
you are leaving the refrigerator turned off for an extended period 	 Follows 	 remove all food and unplug the power cord
Do not store food with high moisture content towards the top of the refrigerator. 	 paraphrase 	 food with high moisture content should not be stored towards the top of the refrigerator
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 food with high moisture content
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 towards the top of the refrigerator
food with high moisture content 	 should_not_be_stored 	 towards the top of the refrigerator
Wash food before storing food in the refrigerator. 	 paraphrase 	 food should be washed before storing food in the refrigerator
food should be washed before storing food in the refrigerator 	 talks_about 	 food
food should be washed before storing food in the refrigerator 	 talks_about 	 before storing food in the refrigerator
food 	 should_be_washed 	 before storing food in the refrigerator
Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated. 	 talks_about 	 food packaging should be wiped down to prevent adjacent foods from being contaminated
Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated. 	 talks_about 	 Vegetables should be washed
Vegetables should be washed 	 Conjunction 	 food packaging should be wiped down to prevent adjacent foods from being contaminated
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 Conjunction 	 Vegetables should be washed
If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. 	 talks_about 	 the refrigerator is kept in a hot and humid place
If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. 	 talks_about 	 frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 Condition 	 the refrigerator is kept in a hot and humid place
the refrigerator is kept in a hot and humid place 	 Follows 	 frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form
Wipe off condensation with a clean cloth or a paper towel. 	 paraphrase 	 condensation should be wiped off with a clean cloth or a paper towel
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 condensation
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 off with a clean cloth or a paper towel
condensation 	 should_be_wiped 	 off with a clean cloth or a paper towel
If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 the refrigerator door or freezer drawer is opened or closed too often
If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 Condition 	 the refrigerator door or freezer drawer is opened or closed too often
the refrigerator door or freezer drawer is opened or closed too often 	 Follows 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
you are leaving home for a short period , like a short vacation , the refrigerator should be left on 	 talks_about 	 the refrigerator should be left on
you are leaving home for a short period , like a short vacation , the refrigerator should be left on 	 talks_about 	 you are leaving home for a short period, like a short vacation
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 further information about preparing food for freezing or food
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 storage times
further information about preparing food for freezing or food 	 should_be_checked_for_reverse 	 a freezer guide or a reliable cookbook
a freezer guide or a reliable cookbook 	 should_be_checked_for 	 further information about preparing food for freezing or food
a freezer guide or a reliable cookbook 	 should_be_checked 	 storage times
storage times 	 should_be_checked_reverse 	 a freezer guide or a reliable cookbook
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 the top of the refrigerator
the top of the refrigerator 	 should_not_be_stored_towards_reverse 	 food with high moisture content
food with high moisture content 	 should_not_be_stored_towards 	 the top of the refrigerator
food should be washed before storing food in the refrigerator 	 talks_about 	 storing food in the refrigerator
food should be washed before storing food in the refrigerator 	 talks_about 	 the refrigerator
food 	 should_be_washed_before 	 storing food in the refrigerator
food 	 before_storing 	 food
food 	 before_storing_reverse 	 food
storing food in the refrigerator 	 should_be_washed_before_reverse 	 food
the refrigerator 	 before_storing_food_in_reverse 	 food
food 	 before_storing_food_in 	 the refrigerator
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 a clean cloth or a paper towel
a clean cloth or a paper towel 	 should_be_wiped_off_with_reverse 	 condensation
condensation 	 should_be_wiped_off_with 	 a clean cloth or a paper towel
This can increase the running costs of the refrigerator. 	 talks_about 	 the running costs of the refrigerator
Cooling hot foods saves energy 	 talks_about 	 Cooling hot foods
Cooling hot foods saves energy 	 talks_about 	 energy
Cooling hot foods 	 saves 	 energy
energy 	 saves_reverse 	 Cooling hot foods
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 Refrigerated foods
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 preserved
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 stored in the freezer
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 longer
Refrigerated foods 	 will_stay 	 preserved
stored in the freezer 	 preserved_if_reverse 	 Refrigerated foods
stored in the freezer 	 will_stay_if_reverse 	 Refrigerated foods
Refrigerated foods 	 preserved_if 	 stored in the freezer
preserved 	 will_stay_reverse 	 Refrigerated foods
longer 	 will_stay_reverse 	 Refrigerated foods
Refrigerated foods 	 will_stay 	 longer
Refrigerated foods 	 will_stay_if 	 stored in the freezer
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 turned off for an extended period
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 the refrigerator
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 an extended period
an extended period 	 turned_off_for_reverse 	 the refrigerator
the refrigerator 	 turned_off_for 	 an extended period
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks_about 	 prevent adjacent foods from being contaminated
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks_about 	 food packaging
prevent adjacent foods from being contaminated 	 should_be_wiped_down_to_reverse 	 food packaging
food packaging 	 should_be_wiped_down_to 	 prevent adjacent foods from being contaminated
the refrigerator is kept in a hot and humid place 	 talks_about 	 the refrigerator
the refrigerator is kept in a hot and humid place 	 talks_about 	 a hot place
the refrigerator is kept in a hot and humid place 	 talks_about 	 a humid place
the refrigerator 	 is_kept_in 	 a hot place
a humid place 	 is_kept_in_reverse 	 the refrigerator
a hot place 	 is_kept_in_reverse 	 the refrigerator
the refrigerator 	 is_kept_in 	 a humid place
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks_about 	 frequent opening of the door or storing a lot of vegetables in the refrigerator
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks_about 	 condensation to form
frequent opening of the door or storing a lot of vegetables in the refrigerator 	 may_cause 	 condensation to form
condensation to form 	 may_cause_reverse 	 frequent opening of the door or storing a lot of vegetables in the refrigerator
the refrigerator door or freezer drawer is opened or closed too often 	 talks_about 	 the refrigerator door or freezer drawer
the refrigerator door or freezer drawer is opened or closed too often 	 talks_about 	 too often
the refrigerator door or freezer drawer 	 closed 	 too often
too often 	 closed_reverse 	 the refrigerator door or freezer drawer
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks_about 	 warm air
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks_about 	 the refrigerator
warm air 	 may_penetrate 	 the refrigerator
the refrigerator 	 may_penetrate_reverse 	 warm air
you are leaving home for a short period, like a short vacation 	 talks_about 	 home
you are leaving home for a short period, like a short vacation 	 talks_about 	 a short period
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Your freezer will not quick-freeze a large quantity of food.
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ).
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Leave enough space in Your freezer for air to circulate around packages.
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Be careful to leave enough room at the front so the door can close tightly.
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature.
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 Ice crystals inside a sealed package are normal.
['Your freezer will not quick-freeze a large quantity of food. Do not put more unfrozen food into the freezer than will freeze within 24 hours (no more than 2 to 3 pounds of food per cubic foot of freezer space). Leave enough space in the freezer for air to circulate around packages. Be careful to leave enough room at the front so the door can close tightly.', 'Storage times will vary according to the quality and type of food, the type of packaging or wrap used (how airtight and moisture-proof) and the storage temperature. Ice crystals inside a sealed package are normal. This simply means that moisture in the food and air inside the package have condensed, creating ice crystals.'] 	 talks_about 	 are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals.
Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ). 	 talks_about 	 than will freeze within 24 hours no more than 2 to 3 pounds of food per cubic foot of freezer space
Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ). 	 talks_about 	 Do not put more unfrozen food into Your freezer
Leave enough space in Your freezer for air to circulate around packages. 	 talks_about 	 for air to circulate around packages
Leave enough space in Your freezer for air to circulate around packages. 	 talks_about 	 Leave enough space in Your freezer
Be careful to leave enough room at the front so the door can close tightly. 	 talks_about 	 the door can close tightly
Be careful to leave enough room at the front so the door can close tightly. 	 talks_about 	 Be careful to leave enough room at the front
Be careful to leave enough room at the front 	 Result 	 the door can close tightly
the door can close tightly 	 Reason 	 Be careful to leave enough room at the front
Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature. 	 talks_about 	 how airtight and moisture-proof
Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature. 	 talks_about 	 Storage times will vary according to the quality and type of food, the type of packaging or wrap used and the storage temperature
are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals. 	 talks_about 	 moisture in the food and air inside a sealed package have condensed, creating ice crystals
are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals. 	 talks_about 	 are simply means
are simply means 	 that 	 moisture in the food and air inside a sealed package have condensed , creating ice crystals
Do not put more unfrozen food into Your freezer 	 paraphrase 	 more unfrozen food should not be put into Your freezer
more unfrozen food should not be put into Your freezer 	 talks_about 	 more unfrozen food
more unfrozen food should not be put into Your freezer 	 talks_about 	 into Your freezer
more unfrozen food 	 should_not_be_put 	 into Your freezer
Leave enough space in Your freezer 	 paraphrase 	 enough space should be leaved in Your freezer
enough space should be leaved in Your freezer 	 talks_about 	 enough space
enough space should be leaved in Your freezer 	 talks_about 	 in Your freezer
enough space 	 should_be_leaved 	 in Your freezer
Your freezer will not quick-freeze a large quantity of food. 	 talks_about 	 a large quantity of food
Your freezer will not quick-freeze a large quantity of food. 	 talks_about 	 Your freezer
a large quantity of food 	 will_not_quick-freeze_reverse 	 Your freezer
Your freezer 	 will_not_quick-freeze 	 a large quantity of food
Ice crystals inside a sealed package are normal. 	 talks_about 	 normal
Ice crystals inside a sealed package are normal. 	 talks_about 	 Ice crystals inside a sealed package
normal 	 are_reverse 	 Ice crystals inside a sealed package
Ice crystals inside a sealed package 	 are 	 normal
more unfrozen food should not be put into Your freezer 	 talks_about 	 Your freezer
Your freezer 	 should_not_be_put_into_reverse 	 more unfrozen food
more unfrozen food 	 should_not_be_put_into 	 Your freezer
for air to circulate around packages 	 talks_about 	 air
for air to circulate around packages 	 talks_about 	 packages
air 	 to_circulate 	 packages
packages 	 to_circulate_reverse 	 air
enough space should be leaved in Your freezer 	 talks_about 	 Your freezer
Your freezer 	 should_be_leaved_in_reverse 	 enough space
enough space 	 should_be_leaved_in 	 Your freezer
['Successful freezing depends on correct packaging. When you close and seal the package, it must not allow air or moisture in or out. If it does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.', 'Follow package or container instructions for proper freezing methods.'] 	 talks_about 	 Successful freezing depends on correct packaging.
['Successful freezing depends on correct packaging. When you close and seal the package, it must not allow air or moisture in or out. If it does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.', 'Follow package or container instructions for proper freezing methods.'] 	 talks_about 	 When you close and seal the package, the package must not allow air or moisture in or out.
['Successful freezing depends on correct packaging. When you close and seal the package, it must not allow air or moisture in or out. If it does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.', 'Follow package or container instructions for proper freezing methods.'] 	 talks_about 	 If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.
['Successful freezing depends on correct packaging. When you close and seal the package, it must not allow air or moisture in or out. If it does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food.', 'Follow package or container instructions for proper freezing methods.'] 	 talks_about 	 Follow package or container instructions for proper freezing methods.
When you close and seal the package, the package must not allow air or moisture in or out. 	 talks_about 	 you close and seal the package
When you close and seal the package, the package must not allow air or moisture in or out. 	 talks_about 	 the package must not allow air or moisture in or out
the package must not allow air or moisture in or out 	 Synchronous 	 you close and seal the package
you close and seal the package 	 Synchronous 	 the package must not allow air or moisture in or out
If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food. 	 talks_about 	 the package does
If the package does, you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food. 	 talks_about 	 you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 Condition 	 the package does
the package does 	 Follows 	 you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food
Follow package or container instructions for proper freezing methods. 	 paraphrase 	 package or container instructions for proper freezing methods should be followed 
Successful freezing depends on correct packaging. 	 talks_about 	 Successful freezing
Successful freezing depends on correct packaging. 	 talks_about 	 correct packaging
Successful freezing 	 depends_on 	 correct packaging
correct packaging 	 depends_on_reverse 	 Successful freezing
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks_about 	 the refrigerator
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks_about 	 food odor
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks_about 	 frozen food
you could have food odor and taste transfer throughout the refrigerator and could also dry out frozen food 	 talks_about 	 taste transfer throughout the refrigerator
['Rigid plastic containers with tight-fitting lids', 'Straight-sided canning/freezing jars', 'Heavy-duty aluminum foil', 'Plastic-coated paper', 'Non-permeable plastic wraps', 'Specified freezer-grade self-sealing plastic bags'] 	 talks_about 	 Rigid plastic containers with tight-fitting lids Straight-sided canning/freezing jars Heavy-duty aluminum foil Plastic-coated paper Non-permeable plastic wraps Specified freezer-grade self-sealing plastic bags
