REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator.
the label should be seen on the ice compartment door for details 	 talks about 	 the label
the label should be seen on the ice compartment door for details 	 talks about 	 on the ice compartment door for details
the label 	 should be seen 	 on the ice compartment door for details
the label should be seen on the ice compartment door for details 	 talks about 	 the ice compartment door
the label 	 should be seen on 	 the ice compartment door
sentence_list_40 	 talks about 	 Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker.
sentence_list_40 	 talks about 	 Gently push the handle to close the ice compartment.
Gently push the handle to close the ice compartment. 	 paraphrase 	 the handle should be pushed to close the ice compartment
the handle should be pushed to close the ice compartment 	 talks about 	 the handle
the handle should be pushed to close the ice compartment 	 talks about 	 to close the ice compartment
the handle 	 should be pushed 	 to close the ice compartment
Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker. 	 talks about 	 Carefully insert In-Door Ice Bin
Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker. 	 talks about 	 the icemaker
Carefully insert In-Door Ice Bin 	 to fit under 	 the icemaker
the handle should be pushed to close the ice compartment 	 talks about 	 close the ice compartment
the handle 	 should be pushed to 	 close the ice compartment
sentence_list_41 	 talks about 	 DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in.
sentence_list_41 	 talks about 	 Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes.
DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in. 	 talks about 	 the refrigerator is plugged in
DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in. 	 talks about 	 DO NOT place fingers in Automatic Icemaker
DO NOT place fingers in Automatic Icemaker 	 Synchronous 	 the refrigerator is plugged in
Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes. 	 talks about 	 releases the ice cubes
Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes. 	 talks about 	 Avoid contact with any moving parts of the ejector mechanism or with the heater
Avoid contact with any moving parts of the ejector mechanism or with the heater 	 that 	 releases the ice cubes
DO NOT place fingers in Automatic Icemaker 	 paraphrase 	 fingers should not be placed in Automatic Icemaker
fingers should not be placed in Automatic Icemaker 	 talks about 	 fingers
fingers should not be placed in Automatic Icemaker 	 talks about 	 in Automatic Icemaker
fingers 	 should not be placed 	 in Automatic Icemaker
Avoid contact with any moving parts of the ejector mechanism or with the heater 	 paraphrase 	 contact should be avoided with any moving parts of the ejector mechanism or with the heater
contact should be avoided with any moving parts of the ejector mechanism or with the heater 	 talks about 	 contact
contact should be avoided with any moving parts of the ejector mechanism or with the heater 	 talks about 	 with any moving parts of the ejector mechanism or with the heater
contact 	 should be avoided 	 with any moving parts of the ejector mechanism or with the heater
fingers should not be placed in Automatic Icemaker 	 talks about 	 Automatic Icemaker
fingers 	 should not be placed in 	 Automatic Icemaker
sentence_list_42 	 talks about 	 In-Door Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm )
In-Door Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm ) 	 talks about 	 Switch Ice
In-Door Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm ) 	 talks about 	 Icemaker
Switch Ice 	 [is] In-Door Power [of] 	 Icemaker
sentence_list_43 	 talks about 	 Ice is made in the automatic in-door icemaker and sent to the dispenser.
sentence_list_43 	 talks about 	 the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.
sentence_list_43 	 talks about 	 a newly installed refrigerator to begin making ice takes about 12 to 24 hours .
sentence_list_43 	 talks about 	 Ice-making stops when the in-door ice bin is full.
sentence_list_43 	 talks about 	 When full, the in-door ice bin holds approximately 6 to 8 ( 12-16 oz. )
sentence_list_43 	 talks about 	 glasses of ice.
sentence_list_43 	 talks about 	 Foreign substances or frost on the ice-detecting sensor can interrupt ice production.
sentence_list_43 	 talks about 	 Make sure the sensor area is clean at all times for proper operation.
sentence_list_43 	 talks about 	 To increase ice production, use the Ice Plus function.
To increase ice production, use the Ice Plus function. 	 talks about 	 ice production
To increase ice production, use the Ice Plus function. 	 talks about 	 use the Ice Plus function
ice production 	 should be increased by 	 use the Ice Plus function
sentence_list_43 	 talks about 	 the Ice Plus function increases both ice making and freezing capabilities.
Ice-making stops when the in-door ice bin is full. 	 talks about 	 the in-door ice bin is full
Ice-making stops when the in-door ice bin is full. 	 talks about 	 Ice-making stops
Ice-making stops 	 Synchronous 	 the in-door ice bin is full
When full, the in-door ice bin holds approximately 6 to 8 ( 12-16 oz. ) 	 talks about 	 full
When full, the in-door ice bin holds approximately 6 to 8 ( 12-16 oz. ) 	 talks about 	 the in-door ice bin holds approximately 6 to 8 12-16 oz
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 Synchronous 	 full
Make sure the sensor area is clean at all times for proper operation. 	 talks about 	 the sensor area is clean at all times for proper operation
Make sure the sensor area is clean at all times for proper operation. 	 talks about 	 Make sure
Ice is made in the automatic in-door icemaker and sent to the dispenser. 	 talks about 	 Ice
Ice is made in the automatic in-door icemaker and sent to the dispenser. 	 talks about 	 the dispenser
Ice is made in the automatic in-door icemaker and sent to the dispenser. 	 talks about 	 the automatic in-door icemaker
Ice 	 is sent to 	 the dispenser
Ice 	 is made in 	 the automatic in-door icemaker
the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks about 	 the automatic in-door icemaker
the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks about 	 a 24-hour period
the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks about 	 depending on freezer compartment temperature, room temperature, number of door openings
the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks about 	 depending on freezer compartment temperature, room temperature, number of other operating conditions
the automatic in-door icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks about 	 70-182 cubes
the automatic in-door icemaker 	 produces 70-182 cubes in 	 a 24-hour period
the automatic in-door icemaker 	 produces 70-182 cubes 	 depending on freezer compartment temperature, room temperature, number of door openings
the automatic in-door icemaker 	 produces 70-182 cubes 	 depending on freezer compartment temperature, room temperature, number of other operating conditions
the automatic in-door icemaker 	 produces 	 70-182 cubes
a newly installed refrigerator to begin making ice takes about 12 to 24 hours . 	 talks about 	 a newly installed refrigerator to begin making ice
a newly installed refrigerator to begin making ice takes about 12 to 24 hours . 	 talks about 	 about 12 to 24 hours
a newly installed refrigerator to begin making ice takes about 12 to 24 hours . 	 talks about 	 a newly installed refrigerator begin
a newly installed refrigerator to begin making ice 	 takes 	 about 12 to 24 hours
a newly installed refrigerator begin 	 takes 	 about 12 to 24 hours
Foreign substances or frost on the ice-detecting sensor can interrupt ice production. 	 talks about 	 Foreign substances or frost on the ice-detecting sensor
Foreign substances or frost on the ice-detecting sensor can interrupt ice production. 	 talks about 	 ice production
Foreign substances or frost on the ice-detecting sensor 	 can interrupt 	 ice production
the Ice Plus function increases both ice making and freezing capabilities. 	 talks about 	 the Ice
the Ice Plus function increases both ice making and freezing capabilities. 	 talks about 	 both ice making
the Ice Plus function increases both ice making and freezing capabilities. 	 talks about 	 function
the Ice Plus function increases both ice making and freezing capabilities. 	 talks about 	 both ice freezing capabilities
the Ice 	 increases 	 both ice making
function 	 increases 	 both ice making
function 	 increases 	 both ice freezing capabilities
the Ice 	 increases 	 both ice freezing capabilities
the in-door ice bin is full 	 talks about 	 the in-door ice bin
the in-door ice bin is full 	 talks about 	 full
the in-door ice bin 	 is 	 full
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 talks about 	 bin
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 talks about 	 the in-door ice
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 talks about 	 approximately 6 to 8 12-16 oz
bin 	 holds approximately 6 to 8 12-16 oz 	 the in-door ice
bin 	 holds 	 approximately 6 to 8 12-16 oz
the sensor area is clean at all times for proper operation 	 talks about 	 the sensor area
the sensor area is clean at all times for proper operation 	 talks about 	 all times for proper operation
the sensor area is clean at all times for proper operation 	 talks about 	 clean
the sensor area 	 is clean at 	 all times for proper operation
the sensor area 	 is 	 clean
sentence_list_44 	 talks about 	 Freezer Icemaker is only available on some models.
sentence_list_44 	 talks about 	 Freezer Icemaker may vary depending on model purchased.
sentence_list_44 	 talks about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
sentence_list_44 	 talks about 	 Throw is also necessary if the refrigerator has not been used for a long time.
sentence_list_44 	 talks about 	 Freezer Icemaker begins producing ice approximately 48 hours after the appliance is initially installed.
sentence_list_44 	 talks about 	 The sound of ice dropping into the ice bin is normal.
sentence_list_44 	 talks about 	 If the ice bin is completely filled with ice, ice production will stop.
sentence_list_44 	 talks about 	 The amount and shape of ice may vary according to the environment ( ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.
sentence_list_44 	 talks about 	 ).
sentence_list_44 	 talks about 	 In the event of a power outage, throw away the ice stored in the ice bin.
Throw is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 the refrigerator has not been used for a long time
Throw is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 Throw is also necessary
Throw is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 Throw is also necessary
Freezer Icemaker begins producing ice approximately 48 hours after the appliance is initially installed. 	 talks about 	 approximately 48 hours after the appliance is initially installed
Freezer Icemaker begins producing ice approximately 48 hours after the appliance is initially installed. 	 talks about 	 Freezer Icemaker begins producing ice
If the ice bin is completely filled with ice, ice production will stop. 	 talks about 	 the ice bin is completely filled with ice
If the ice bin is completely filled with ice, ice production will stop. 	 talks about 	 ice production will stop
ice production will stop 	 Condition 	 the ice bin is completely filled with ice
the ice bin is completely filled with ice 	 Follows 	 ice production will stop
Freezer Icemaker is only available on some models. 	 talks about 	 Freezer Icemaker
Freezer Icemaker is only available on some models. 	 talks about 	 some models
Freezer Icemaker is only available on some models. 	 talks about 	 only available
Freezer Icemaker 	 is only available on 	 some models
Freezer Icemaker 	 is 	 only available
Freezer Icemaker may vary depending on model purchased. 	 talks about 	 Freezer Icemaker
Freezer Icemaker may vary depending on model purchased. 	 talks about 	 depending on model
Freezer Icemaker 	 may vary 	 depending on model
The sound of ice dropping into the ice bin is normal. 	 talks about 	 The sound of ice dropping into the ice bin
The sound of ice dropping into the ice bin is normal. 	 talks about 	 normal
The sound of ice dropping into the ice bin 	 is 	 normal
In the event of a power outage, throw away the ice stored in the ice bin. 	 talks about 	 the ice
In the event of a power outage, throw away the ice stored in the ice bin. 	 talks about 	 the ice bin
the ice 	 stored in 	 the ice bin
Throw is also necessary 	 talks about 	 Throw
Throw is also necessary 	 talks about 	 also
Throw is also necessary 	 talks about 	 necessary
Throw 	 is necessary 	 also
Throw 	 is 	 necessary
approximately 48 hours after the appliance is initially installed 	 talks about 	 the appliance
approximately 48 hours after the appliance is initially installed 	 talks about 	 initially
the appliance 	 is installed 	 initially
Freezer Icemaker begins producing ice 	 talks about 	 Freezer Icemaker
Freezer Icemaker begins producing ice 	 talks about 	 producing ice
Freezer Icemaker 	 begins 	 producing ice
the ice bin is completely filled with ice 	 talks about 	 the ice bin
the ice bin is completely filled with ice 	 talks about 	 ice
the ice bin 	 is filled with 	 ice
sentence_list_45 	 talks about 	 Freezer Icemaker ( Cubed Ice ) is only available on some models.
sentence_list_45 	 talks about 	 Freezer Icemaker ( Cubed Ice ) produces 12 cubes at a time, 50-110 pieces within a 24 hour period if conditions are favorable.
sentence_list_45 	 talks about 	 This amount may vary according to the environment ( ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, etc.
sentence_list_45 	 talks about 	 ).
sentence_list_45 	 talks about 	 Ice cubes which are stored in the ice bin for a long time may clump together and be difficult to separate.
sentence_list_45 	 talks about 	 If clump happens, empty the ice bin completely and clean the ice bin before reinstalling the ice bin.
Freezer Icemaker ( Cubed Ice ) produces 12 cubes at a time, 50-110 pieces within a 24 hour period if conditions are favorable. 	 talks about 	 conditions are favorable
Freezer Icemaker ( Cubed Ice ) produces 12 cubes at a time, 50-110 pieces within a 24 hour period if conditions are favorable. 	 talks about 	 Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period
Freezer Icemaker Cubed Ice produces 12 cubes at a time , 50-110 pieces within a 24 hour period 	 Condition 	 conditions are favorable
conditions are favorable 	 Follows 	 Freezer Icemaker Cubed Ice produces 12 cubes at a time , 50-110 pieces within a 24 hour period
Ice cubes which are stored in the ice bin for a long time may clump together and be difficult to separate. 	 talks about 	 which are stored in the ice bin for a long time
Ice cubes which are stored in the ice bin for a long time may clump together and be difficult to separate. 	 talks about 	 Ice cubes may clump together and be difficult to separate
If clump happens, empty the ice bin completely and clean the ice bin before reinstalling the ice bin. 	 talks about 	 clump happens
If clump happens, empty the ice bin completely and clean the ice bin before reinstalling the ice bin. 	 talks about 	 empty the ice bin completely and clean the ice bin before reinstalling the ice bin
empty the ice bin completely and clean the ice bin before reinstalling the ice bin 	 Condition 	 clump happens
clump happens 	 Follows 	 empty the ice bin completely and clean the ice bin before reinstalling the ice bin
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks about 	 Freezer Icemaker
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks about 	 some models
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks about 	 only available
conditions are favorable 	 talks about 	 conditions
conditions are favorable 	 talks about 	 favorable
conditions 	 are 	 favorable
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks about 	 Freezer Icemaker Cubed Ice
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks about 	 a time
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks about 	 12 cubes
Freezer Icemaker Cubed Ice 	 produces 12 cubes at 	 a time
Freezer Icemaker Cubed Ice 	 produces 	 12 cubes
sentence_list_46 	 talks about 	 Feeler Arm Power Switch
sentence_list_47 	 talks about 	 To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position.
To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position. 	 talks about 	 the automatic icemaker On/Off
To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position. 	 talks about 	 press the power switch on the automatic icemaker to the ON | or OFF O position
the automatic icemaker On/Off 	 should be turned by 	 press the power switch on the automatic icemaker to the ON | or OFF O position
sentence_list_48 	 talks about 	 To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position.
sentence_list_49 	 talks about 	 Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker.
sentence_list_49 	 talks about 	 The the icemaker water valve buzzes as the icemaker fills with water.
sentence_list_49 	 talks about 	 If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water.
sentence_list_49 	 talks about 	 To stop buzz, press the icemaker power button to turn the icemaker power button off.
To stop buzz, press the icemaker power button to turn the icemaker power button off. 	 talks about 	 buzz
To stop buzz, press the icemaker power button to turn the icemaker power button off. 	 talks about 	 press the icemaker power button to turn the icemaker power button off
buzz 	 should be stopped by 	 press the icemaker power button to turn the icemaker power button off
sentence_list_49 	 talks about 	 You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills.
Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker. 	 talks about 	 the water line is connected
Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker. 	 talks about 	 Keeping the power turned on to the icemaker can damage the icemaker
Keeping the power turned on to the icemaker can damage the icemaker 	 Precedence 	 the water line is connected
The the icemaker water valve buzzes as the icemaker fills with water. 	 talks about 	 as the icemaker fills with water
The the icemaker water valve buzzes as the icemaker fills with water. 	 talks about 	 The the icemaker water valve buzzes
If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water. 	 talks about 	 the the icemaker power button is in the ON position
If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water. 	 talks about 	 the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 Condition 	 the the icemaker power button is in the ON position
the the icemaker power button is in the ON position 	 Follows 	 the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water
You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills. 	 talks about 	 as the icemaker refills
You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills. 	 talks about 	 You will hear the sound of ice dropping into the bin and water running in the pipes
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 talks about 	 even if the icemaker power button has not yet been hooked up to water
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 talks about 	 the icemaker power button will buzz
Keeping the power turned on to the icemaker can damage the icemaker 	 talks about 	 Keeping the power
Keeping the power turned on to the icemaker can damage the icemaker 	 talks about 	 the icemaker
Keeping the power 	 turned on to 	 the icemaker
as the icemaker fills with water 	 talks about 	 the icemaker
as the icemaker fills with water 	 talks about 	 water
the icemaker 	 fills with 	 water
the the icemaker power button is in the ON position 	 talks about 	 the the icemaker power button
the the icemaker power button is in the ON position 	 talks about 	 the ON position
the the icemaker power button 	 is in 	 the ON position
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks about 	 the sound of ice
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks about 	 the pipes
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks about 	 the sound of ice dropping into the bin
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks about 	 the sound of ice dropping into the water
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks about 	 the water
the sound of ice 	 running in 	 the pipes
the water 	 running in 	 the pipes
sentence_list_50 	 talks about 	 Set the icemaker power button to OFF and shut off the water supply to the refrigerator.
sentence_list_50 	 talks about 	 If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections.
sentence_list_50 	 talks about 	 The ice bin should be emptied any time the icemaker power button is turned to the OFF position.
If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections. 	 talks about 	 the ambient temperature will drop below freezing
If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections. 	 talks about 	 have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 Condition 	 the ambient temperature will drop below freezing
the ambient temperature will drop below freezing 	 Follows 	 have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections
The ice bin should be emptied any time the icemaker power button is turned to the OFF position. 	 talks about 	 the icemaker power button is turned to the OFF position
The ice bin should be emptied any time the icemaker power button is turned to the OFF position. 	 talks about 	 The ice bin should be emptied any time
the ambient temperature will drop below freezing 	 talks about 	 the ambient temperature
the ambient temperature will drop below freezing 	 talks about 	 freezing
the ambient temperature 	 will drop below 	 freezing
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks about 	 the water supply system
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks about 	 serious property damage due to flooding
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks about 	 flooding
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks about 	 ruptured water lines or connections
the water supply system 	 to prevent 	 serious property damage due to flooding
flooding 	 caused by 	 ruptured water lines or connections
the icemaker power button is turned to the OFF position 	 talks about 	 the icemaker power button
the icemaker power button is turned to the OFF position 	 talks about 	 the OFF position
the icemaker power button 	 is turned to 	 the OFF position
The ice bin should be emptied any time 	 talks about 	 The ice bin
The ice bin should be emptied any time 	 talks about 	 any time
The ice bin 	 should be emptied 	 any time
sentence_list_51 	 talks about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted.
sentence_list_51 	 talks about 	 Wrap prevents food odor and taste transfer throughout the refrigerator.
sentence_list_51 	 talks about 	 For dated products, check date code to ensure freshness.
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks about 	 noted
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material
Wrap or store food in the refrigerator in airtight and moisture-proof material 	 unless otherwise 	 noted
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks about 	 Wrap
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks about 	 the refrigerator
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks about 	 food odor
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks about 	 taste transfer throughout the refrigerator
Wrap 	 prevents food odor throughout 	 the refrigerator
Wrap 	 prevents 	 food odor
Wrap 	 prevents 	 taste transfer throughout the refrigerator
sentence_list_52 	 talks about 	 Do not overfill or pack items too tightly into door bins.
sentence_list_52 	 talks about 	 Doing so may cause damage to the bin or personal injury if items are removed with excessive force.
sentence_list_52 	 talks about 	 Do not store glass containers in the freezer.
sentence_list_52 	 talks about 	 Contents may expand when frozen, break the container and cause injury.
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks about 	 items are removed with excessive force
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks about 	 Doing so may cause damage to the bin or personal injury
Doing so may cause damage to the bin or personal injury 	 Condition 	 items are removed with excessive force
items are removed with excessive force 	 Follows 	 Doing so may cause damage to the bin or personal injury
Do not store glass containers in the freezer. 	 paraphrase 	 glass containers should not be stored in the freezer
glass containers should not be stored in the freezer 	 talks about 	 glass containers
glass containers should not be stored in the freezer 	 talks about 	 in the freezer
glass containers 	 should not be stored 	 in the freezer
Contents may expand when frozen, break the container and cause injury. 	 talks about 	 frozen
Contents may expand when frozen, break the container and cause injury. 	 talks about 	 Contents may expand, break the container and cause injury
Contents may expand , break the container and cause injury 	 Synchronous 	 frozen
glass containers should not be stored in the freezer 	 talks about 	 the freezer
glass containers 	 should not be stored in 	 the freezer
items are removed with excessive force 	 talks about 	 items
items are removed with excessive force 	 talks about 	 excessive force
items 	 are removed with 	 excessive force
Doing so may cause damage to the bin or personal injury 	 talks about 	 Doing so
Doing so may cause damage to the bin or personal injury 	 talks about 	 damage to the bin or personal injury
Doing so 	 may cause 	 damage to the bin or personal injury
sentence_list_53 	 talks about 	 Keep opened butter in covered dish or closed compartment.
sentence_list_53 	 talks about 	 When storing an extra supply, wrap in freezer packaging and freeze.
Keep opened butter in covered dish or closed compartment. 	 paraphrase 	 butter should be kept opened in covered dish or closed compartment
butter should be kept opened in covered dish or closed compartment 	 talks about 	 butter
butter should be kept opened in covered dish or closed compartment 	 talks about 	 opened in covered dish or closed compartment
butter 	 should be kept 	 opened in covered dish or closed compartment
When storing an extra supply, wrap in freezer packaging and freeze. 	 talks about 	 storing an extra supply
When storing an extra supply, wrap in freezer packaging and freeze. 	 talks about 	 wrap in freezer packaging and freeze
wrap in freezer packaging and freeze 	 Synchronous 	 storing an extra supply
butter should be kept opened in covered dish or closed compartment 	 talks about 	 covered dish or closed compartment
butter 	 opened in 	 covered dish or closed compartment
sentence_list_54 	 talks about 	 Store in original wrapping until used.
sentence_list_54 	 talks about 	 Once opened, rewrap tightly in plastic wrap or aluminum foil.
Once opened, rewrap tightly in plastic wrap or aluminum foil. 	 talks about 	 opened
Once opened, rewrap tightly in plastic wrap or aluminum foil. 	 talks about 	 rewrap tightly in plastic wrap or aluminum foil
rewrap tightly in plastic wrap or aluminum foil 	 Succession 	 opened
sentence_list_55 	 talks about 	 Wipe milk cartons.
sentence_list_55 	 talks about 	 For coldest milk, place containers on an interior shelf.
Wipe milk cartons. 	 paraphrase 	 milk cartons should be wiped 
sentence_list_56 	 talks about 	 Store in original carton on interior shelf, not on door shelf.
sentence_list_57 	 talks about 	 Do not wash or hull fruit until fruit is ready to be used.
sentence_list_57 	 talks about 	 Sort and keep fruit in original container in a crisper, or store in completely closed paper bag on refrigerator shelf.
Do not wash or hull fruit until fruit is ready to be used. 	 talks about 	 fruit is ready to be used
Do not wash or hull fruit until fruit is ready to be used. 	 talks about 	 Do not wash or hull fruit
Do not wash or hull fruit 	 Precedence 	 fruit is ready to be used
fruit is ready to be used 	 talks about 	 fruit
fruit is ready to be used 	 talks about 	 ready to be used
fruit 	 is 	 ready to be used
sentence_list_58 	 talks about 	 Remove store wrapping, trim or tear off bruised and discolored areas, wash in cold water, and drain.
sentence_list_58 	 talks about 	 Place in plastic bag or plastic container and store in crisper.
sentence_list_59 	 talks about 	 Place in plastic bags or plastic container and store in crisper.
sentence_list_60 	 talks about 	 Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased.
sentence_list_60 	 talks about 	 Eating fresh fish and shellfish the same day purchased is recommended.
Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased. 	 talks about 	 fresh fish and shellfish are not being eaten the same day purchased
Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased. 	 talks about 	 Freeze fresh fish and shellfish
Freeze fresh fish and shellfish 	 Condition 	 fresh fish and shellfish are not being eaten the same day purchased
fresh fish and shellfish are not being eaten the same day purchased 	 Follows 	 Freeze fresh fish and shellfish
Freeze fresh fish and shellfish 	 paraphrase 	 fresh fish and shellfish should be frozen 
Eating fresh fish and shellfish the same day purchased is recommended. 	 talks about 	 the same day purchased
Eating fresh fish and shellfish the same day purchased is recommended. 	 talks about 	 shellfish
the same day purchased 	 is recommended 	 shellfish
fresh fish and shellfish are not being eaten the same day purchased 	 talks about 	 shellfish
fresh fish and shellfish are not being eaten the same day purchased 	 talks about 	 the same day
fresh fish and shellfish are not being eaten the same day purchased 	 talks about 	 fresh fish
shellfish 	 are not being eaten 	 the same day
fresh fish 	 are not being eaten 	 the same day
sentence_list_61 	 talks about 	 Cover leftovers with plastic wrap or aluminum foil, or store in plastic containers with tight lids.
sentence_list_62 	 talks about 	 Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.
sentence_list_62 	 talks about 	 Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze.
sentence_list_62 	 talks about 	 Cooling hot foods before freezing saves energy.
sentence_list_62 	 talks about 	 If you are leaving home for a short period, like a short vacation, the refrigerator should be left on.
sentence_list_62 	 talks about 	 Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.
sentence_list_62 	 talks about 	 If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord.
sentence_list_62 	 talks about 	 Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.
sentence_list_62 	 talks about 	 Do not store food with high moisture content towards the top of the refrigerator.
sentence_list_62 	 talks about 	 food with high moisture content could come into direct contact with the cold air and freeze.
sentence_list_62 	 talks about 	 Wash food before storing food in the refrigerator.
sentence_list_62 	 talks about 	 Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.
sentence_list_62 	 talks about 	 If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form.
